cement,slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength,recycled_content_kg,total_binder,recycled_content_pct,water_cement_ratio,cement_intensity,circularity_score,sustainability_grade,estimated_co2_kg_per_m3
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66,190.0,380.0,50.0,1.2,3.75,78.3,Excellent,180.5
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.7,114.0,380.0,30.0,0.857,5.462,60.9,High,245.1
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06,38.0,380.0,10.0,0.667,6.211,44.1,Medium,309.7
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7,209.4,349.0,60.0,1.375,3.123,86.9,Excellent,136.11
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28,142.5,475.0,30.0,0.686,10.98,57.3,High,306.38
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86,190.0,380.0,50.0,1.2,4.65,77.7,Excellent,180.5
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99,0.0,485.0,0.0,0.301,6.737,35.6,Medium,436.5
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4,189.2,563.2,33.59,0.455,10.872,60.3,High,346.06
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8,262.2,575.5,45.56,0.56,10.878,70.1,Excellent,295.08
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,106.3,531.3,20.01,0.361,12.724,48.0,Medium,387.82
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3,106.3,531.3,20.01,0.356,11.708,48.7,Medium,387.82
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0,93.8,468.8,20.01,0.338,12.931,47.9,Medium,342.19
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8,118.8,593.8,20.01,0.381,12.566,48.1,Medium,433.44
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2,117.2,586.2,19.99,0.294,11.666,48.7,Medium,427.96
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,106.3,531.3,20.01,0.361,12.724,48.0,Medium,387.82
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,97.1,485.70000000000005,19.99,0.406,13.829,47.3,Medium,354.6
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.3,0.0,531.3,0.0,0.267,12.864,31.6,Medium,478.17
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,106.3,531.3,20.01,0.361,12.724,48.0,Medium,387.82
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2,212.5,531.3,40.0,0.488,12.65,64.4,High,297.54
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.1,94.7,496.5,19.07,0.367,9.776,49.2,Medium,366.36
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,189.0,551.6,34.26,0.455,10.272,61.2,High,335.79
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3,282.8,606.5,46.63,0.568,11.438,70.6,Excellent,305.47
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6,151.2,530.7,28.49,0.406,13.269,54.6,High,349.11
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,189.0,551.6,34.26,0.455,10.272,61.2,High,335.79
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.4,200.9,487.20000000000005,41.24,0.505,11.733,66.0,High,267.72
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,189.0,551.6,34.26,0.455,10.272,61.2,High,335.79
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3,177.0,616.0,28.73,0.424,11.17,56.1,High,403.95
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6,189.0,578.9,32.65,0.374,9.603,60.4,High,360.36
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,189.0,551.6,34.26,0.455,10.272,61.2,High,335.79
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1,189.0,526.9,35.87,0.518,14.02,60.1,High,313.56
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,46.2,189.2,563.2,33.59,0.455,8.095,62.1,High,346.06
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8,262.2,575.5,45.56,0.56,7.32,72.4,Excellent,295.08
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2,106.3,531.3,20.01,0.361,8.638,50.7,High,387.82
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8,106.3,531.3,20.01,0.356,9.081,50.4,High,387.82
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7,93.8,468.8,20.01,0.338,8.206,51.0,High,342.19
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.6,118.8,593.8,20.01,0.381,8.543,50.7,High,433.44
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9,117.2,586.2,19.99,0.294,8.543,50.7,High,427.96
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2,106.3,531.3,20.01,0.361,8.638,50.7,High,387.82
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,34.9,97.1,485.70000000000005,19.99,0.406,11.134,49.0,Medium,354.6
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.9,0.0,531.3,0.0,0.267,11.328,32.6,Medium,478.17
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2,106.3,531.3,20.01,0.361,8.638,50.7,High,387.82
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4,212.5,531.3,40.0,0.488,9.545,66.4,High,297.54
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.1,94.7,496.5,19.07,0.367,7.427,50.7,High,366.36
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,189.0,551.6,34.26,0.455,6.486,63.7,High,335.79
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8,282.8,606.5,46.63,0.568,6.5,73.8,Excellent,305.47
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,47.1,151.2,530.7,28.49,0.406,8.057,58.0,High,349.11
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,189.0,551.6,34.26,0.455,6.486,63.7,High,335.79
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,38.0,200.9,487.20000000000005,41.24,0.505,7.534,68.7,High,267.72
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,189.0,551.6,34.26,0.455,6.486,63.7,High,335.79
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.1,177.0,616.0,28.73,0.424,7.825,58.3,High,403.95
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,59.09,189.0,578.9,32.65,0.374,6.598,62.3,High,360.36
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.9,189.0,551.6,34.26,0.455,15.833,57.6,High,335.79
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.1,189.0,526.9,35.87,0.518,9.627,63.0,High,313.56
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09,189.2,563.2,33.59,0.455,6.122,63.4,High,346.06
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,59.8,262.2,575.5,45.56,0.56,5.239,73.7,Excellent,295.08
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,106.3,531.3,20.01,0.361,7.049,51.7,High,387.82
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,61.8,106.3,531.3,20.01,0.356,6.877,51.8,High,387.82
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,56.7,93.8,468.8,20.01,0.338,6.614,52.0,High,342.19
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3,118.8,593.8,20.01,0.381,6.955,51.8,High,433.44
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.9,117.2,586.2,19.99,0.294,7.01,51.7,High,427.96
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,106.3,531.3,20.01,0.361,7.049,51.7,High,387.82
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7,97.1,485.70000000000005,19.99,0.406,7.665,51.3,High,354.6
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4,0.0,531.3,0.0,0.267,9.42,33.9,Medium,478.17
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,106.3,531.3,20.01,0.361,7.049,51.7,High,387.82
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.5,212.5,531.3,40.0,0.488,5.744,68.9,High,297.54
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.5,94.7,496.5,19.07,0.367,5.866,51.7,High,366.36
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,189.0,551.6,34.26,0.455,5.085,64.6,High,335.79
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7,282.8,606.5,46.63,0.568,4.333,75.2,Excellent,305.47
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,52.2,151.2,530.7,28.49,0.406,7.27,58.5,High,349.11
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,189.0,551.6,34.26,0.455,5.085,64.6,High,335.79
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7,200.9,487.20000000000005,41.24,0.505,4.229,70.9,Excellent,267.72
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,189.0,551.6,34.26,0.455,5.085,64.6,High,335.79
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,66.0,177.0,616.0,28.73,0.424,6.651,59.1,High,403.95
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5,189.0,578.9,32.65,0.374,5.233,63.2,High,360.36
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,189.0,551.6,34.26,0.455,5.085,64.6,High,335.79
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9,189.0,526.9,35.87,0.518,6.771,64.8,High,313.56
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4,189.2,563.2,33.59,0.455,5.899,63.5,High,346.06
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,64.9,262.2,575.5,45.56,0.56,4.827,74.0,Excellent,295.08
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3,106.3,531.3,20.01,0.361,6.61,52.0,High,387.82
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.9,106.3,531.3,20.01,0.356,6.548,52.0,High,387.82
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,60.2,93.8,468.8,20.01,0.338,6.229,52.3,High,342.19
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,72.3,118.8,593.8,20.01,0.381,6.57,52.0,High,433.44
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.3,117.2,586.2,19.99,0.294,6.768,51.9,High,427.96
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3,106.3,531.3,20.01,0.361,6.61,52.0,High,387.82
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2,97.1,485.70000000000005,19.99,0.406,7.04,51.7,High,354.6
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,58.8,0.0,531.3,0.0,0.267,9.036,34.1,Medium,478.17
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3,106.3,531.3,20.01,0.361,6.61,52.0,High,387.82
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,66.1,212.5,531.3,40.0,0.488,4.823,69.5,High,297.54
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.7,94.7,496.5,19.07,0.367,5.452,52.0,High,366.36
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,189.0,551.6,34.26,0.455,4.691,64.9,High,335.79
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2,282.8,606.5,46.63,0.568,4.036,75.4,Excellent,305.47
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9,151.2,530.7,28.49,0.406,6.912,58.7,High,349.11
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,189.0,551.6,34.26,0.455,4.691,64.9,High,335.79
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99,200.9,487.20000000000005,41.24,0.505,3.922,71.1,Excellent,267.72
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,189.0,551.6,34.26,0.455,4.691,64.9,High,335.79
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7,177.0,616.0,28.73,0.424,6.123,59.4,High,403.95
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,79.4,189.0,578.9,32.65,0.374,4.911,63.4,High,360.36
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,189.0,551.6,34.26,0.455,4.691,64.9,High,335.79
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89,189.0,526.9,35.87,0.518,5.642,65.6,High,313.56
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9,189.2,563.2,33.59,0.455,5.763,63.6,High,346.06
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,66.6,262.2,575.5,45.56,0.56,4.704,74.1,Excellent,295.08
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,106.3,531.3,20.01,0.361,6.518,52.1,High,387.82
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7,106.3,531.3,20.01,0.356,6.372,52.2,High,387.82
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5,93.8,468.8,20.01,0.338,6.0,52.4,High,342.19
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91,74.19,118.8,593.8,20.01,0.381,6.402,52.1,High,433.44
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91,70.7,117.2,586.2,19.99,0.294,6.634,52.0,High,427.96
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,106.3,531.3,20.01,0.361,6.518,52.1,High,387.82
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.6,97.1,485.70000000000005,19.99,0.406,6.746,51.9,High,354.6
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2,0.0,531.3,0.0,0.267,8.975,34.2,Medium,478.17
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,106.3,531.3,20.01,0.361,6.518,52.1,High,387.82
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1,212.5,531.3,40.0,0.488,4.681,69.6,High,297.54
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5,94.7,496.5,19.07,0.367,5.322,52.1,High,366.36
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,189.0,551.6,34.26,0.455,4.572,65.0,High,335.79
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.5,151.2,530.7,28.49,0.406,6.717,58.8,High,349.11
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,189.0,551.6,34.26,0.455,4.572,65.0,High,335.79
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8,200.9,487.20000000000005,41.24,0.505,3.728,71.2,Excellent,267.72
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,189.0,551.6,34.26,0.455,4.572,65.0,High,335.79
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.3,177.0,616.0,28.73,0.424,5.989,59.5,High,403.95
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6,189.0,578.9,32.65,0.374,4.72,63.5,High,360.36
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,189.0,551.6,34.26,0.455,4.572,65.0,High,335.79
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91,67.8,189.0,526.9,35.87,0.518,4.984,66.0,High,313.56
222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,11.58,96.7,319.1,30.3,0.851,19.204,52.2,High,205.0
222.4,0.0,96.7,189.3,4.5,967.1,870.3,14,24.45,96.7,319.1,30.3,0.851,9.096,58.8,High,205.0
222.4,0.0,96.7,189.3,4.5,967.1,870.3,28,24.89,96.7,319.1,30.3,0.851,8.935,58.9,High,205.0
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45,96.7,319.1,30.3,0.851,7.552,59.8,High,205.0
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,40.71,96.7,319.1,30.3,0.851,5.463,61.1,High,205.0
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38,94.6,328.4,28.81,0.846,22.522,48.8,Medium,215.15
233.8,0.0,94.6,197.9,4.6,947.0,852.2,14,22.14,94.6,328.4,28.81,0.846,10.56,56.6,High,215.15
233.8,0.0,94.6,197.9,4.6,947.0,852.2,28,22.84,94.6,328.4,28.81,0.846,10.236,56.8,High,215.15
233.8,0.0,94.6,197.9,4.6,947.0,852.2,56,27.66,94.6,328.4,28.81,0.846,8.452,58.0,High,215.15
233.8,0.0,94.6,197.9,4.6,947.0,852.2,100,34.56,94.6,328.4,28.81,0.846,6.765,59.1,High,215.15
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3,12.45,100.5,295.2,34.04,0.851,15.637,57.6,High,180.26
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14,24.99,100.5,295.2,34.04,0.851,7.791,62.7,High,180.26
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28,25.72,100.5,295.2,34.04,0.851,7.57,62.8,High,180.26
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,56,33.96,100.5,295.2,34.04,0.851,5.733,64.0,High,180.26
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,37.34,100.5,295.2,34.04,0.851,5.214,64.4,High,180.26
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04,125.4,316.1,39.67,0.85,12.679,64.1,High,177.9
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14,21.06,125.4,316.1,39.67,0.85,9.055,66.4,High,177.9
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28,26.4,125.4,316.1,39.67,0.85,7.223,67.6,High,177.9
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56,35.34,125.4,316.1,39.67,0.85,5.396,68.8,High,177.9
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100,40.57,125.4,316.1,39.67,0.85,4.7,69.3,High,177.9
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47,121.6,333.7,36.44,0.85,17.007,58.6,High,196.97
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92,121.6,333.7,36.44,0.85,10.138,63.1,High,196.97
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,24.9,121.6,333.7,36.44,0.85,8.518,64.2,High,196.97
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,34.2,121.6,333.7,36.44,0.85,6.202,65.7,High,196.97
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,39.61,121.6,333.7,36.44,0.85,5.355,66.2,High,196.97
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03,118.3,348.3,33.96,0.85,22.929,52.7,High,212.92
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14,20.08,118.3,348.3,33.96,0.85,11.454,60.2,High,212.92
